Case_ID,Symptom_Description,Show_Command_Output,Expected_Fault,OSI_Layer,Concept_Tag,Severity
"Case_01","PC1 cannot ping its gateway (192.168.10.1). Command prompt shows Destination host unreachable.","PC1> ipconfig ... IP Address: 192.168.1.11, Subnet Mask: 255.255.255.0, Default Gateway: 192.168.10.1","PC1 has an incorrect IP address (192.168.1.11) that does not match the 192.168.10.0 subnet.","Layer 3 (Network)","IP Addressing","High"
"Case_02","PC2 can ping local devices but fails to ping outside the subnet. Routing behaves incorrectly.","PC2> ipconfig ... IP Address: 192.168.10.12, Subnet Mask: 255.255.0.0, Default Gateway: 192.168.10.1","PC2 has an incorrect subnet mask (255.255.0.0 instead of 255.255.255.0), causing routing confusion.","Layer 3 (Network)","Subnetting","Medium"
"Case_03","PC3 can ping local VLAN 20 devices, but cannot ping PC1 or the Router.","PC3> ipconfig ... IP Address: 192.168.20.11, Subnet Mask: 255.255.255.0, Default Gateway: 192.168.20.99","The default gateway IP on PC3 is typed incorrectly (192.168.20.99 instead of 192.168.20.1).","Layer 3 (Network)","Default Gateway","High"
"Case_04","PC4 and PC3 have intermittent connectivity. Devices drop offline randomly.","PC4> ipconfig ... IP: 192.168.20.11. PC3> ipconfig ... IP: 192.168.20.11.","Duplicate IP address. Both PC3 and PC4 are using 192.168.20.11.","Layer 3 (Network)","IP Conflict","High"
"Case_05","PC1 cannot ping its gateway. VLAN 10 is completely down.","Router0# show ip interface brief ... Gi0/0.10 192.168.100.1 up up","Router subinterface Gi0/0.10 has the wrong IP address (192.168.100.1) for the VLAN 10 subnet.","Layer 3 (Network)","Router-on-a-Stick","High"
"Case_06","PC1 has no link light (red X on cable). Cannot ping anything.","S1# show interfaces status ... Fa0/1 admin down down","Switch port FastEthernet0/1 is administratively shut down.","Layer 1 (Physical)","Interface Status","High"
"Case_07","Entire VLAN 10 is down. PC1 and PC2 cannot ping the gateway.","Router0# show ip interface brief ... Gi0/0 admin down down","The physical router interface GigabitEthernet0/0 connecting to Switch S1 is shut down.","Layer 1 (Physical)","Interface Status","Critical"
"Case_08","VLAN 20 devices (PC3/PC4) cannot ping the gateway. VLAN 10 works fine.","Sw# show interfaces trunk ... (Output is empty). show run int g0/1 ... switchport mode access","The trunk link between Switch Sw and Router0 is incorrectly configured as an access port.","Layer 2 (Data Link)","802.1Q Trunking","High"
"Case_09","PC1 has no link light. Cannot ping anything.","S1# show interfaces status ... Fa0/1 disconnected down","The physical Ethernet cable between PC1 and Switch S1 is unplugged or deleted.","Layer 1 (Physical)","Physical Connectivity","High"
"Case_10","PC2 has no link light. Cannot ping anything.","S1# show interfaces status ... Fa0/2 admin down down","Switch port FastEthernet0/2 is administratively shut down.","Layer 1 (Physical)","Interface Status","High"
